match_id,referee_id
9880,2728
9912,2602
9924,2608
9855,2575
9827,180
9799,2608
9636,2609
9609,2608
9575,2624
9661,2434
9592,183
9870,2602
9783,183
9860,211
9695,218
9794,222
9673,211
9620,2625
9837,183
9642,180
9774,218
9602,222
9948,2609
9682,221
9581,2728
9726,180
9754,211
9889,222
266892,180
267220,222
267670,221
267039,211
266477,218
266033,221
267660,222
266273,1008
267395,221
266874,211
266528,180
266280,1008
267076,1008
267590,183
267077,221
267464,180
266299,183
266191,183
267596,218
69243,1012
69241,1012
69239,221
69257,2535
69253,1013
69244,1003
69277,1010
69229,999
69219,1001
69218,222
69250,1004
69242,1001
69256,2535
69298,222
69259,2699
69224,997
69210,1000
69220,1013
69237,999
69226,1008
69252,1007
69255,1012
69214,997
69262,221
69240,1003
69233,222
69213,221
69238,1010
69267,2535
69288,1003
69254,180
69292,2699
69227,1012
69247,180
69221,1013
69276,1004
69304,1000
69307,1003
69271,1012
69305,1009
69278,211
69275,221
69295,218
69270,1009
69303,997
69245,997
69287,2535
69296,222
69260,1003
69269,222
69246,1003
69302,222
69282,1000
69274,999
69283,2535
69280,1012
69286,1012
69291,1001
69236,221
69234,222
69272,1013
69308,1012
69299,999
69300,1003
69289,1004
69263,1001
69306,997
69248,1001
69328,1004
69329,999
70219,1004
69331,221
69337,1001
69316,1008
69332,1001
69335,221
69330,1013
69297,1012
69325,1009
69324,221
70225,1016
69293,1009
70223,2535
69333,1016
69264,180
69343,211
69340,1004
69265,1008
69319,1009
69334,222
69327,218
69315,1003
69336,1013
69326,211
69268,1004
69320,1003
69312,1004
69314,1015
69318,997
69338,1016
70220,997
70224,1012
70221,1016
69323,180
266015,1008
70281,1008
70308,222
70282,211
266724,218
70272,1001
70304,1013
70280,1015
70296,1001
70297,218
266433,183
70256,180
70259,211
70260,1003
70263,180
70276,1001
70287,221
70284,1015
70275,180
70286,1001
70309,1009
70300,1012
70295,2535
70307,211
70305,1015
266827,1012
267502,218
70271,2535
70262,997
70292,1003
267368,2419
70301,997
70298,1016
70302,1008
70291,1008
267138,1012
267520,183
70289,222
267675,1016
266074,1016
266201,1003
266274,1009
70293,221
70283,2535
70306,1008
266256,180
266613,1015
266491,1016
265830,180
265857,221
266883,211
265837,222
266462,1015
267192,222
266420,1009
267183,180
265963,222
266916,183
267197,1008
70273,222
265896,1016
265866,1008
266406,2535
267085,183
267561,180
266045,218
70303,221
266794,1008
266631,221
266320,218
266525,211
266560,222
266846,180
266531,180
266921,1003
267499,221
266871,180
266770,211
3825895,2728
3825894,1008
3825855,2480
3825908,2692
3825883,2602
3825900,221
3825902,1008
3825876,183
3825846,180
3825869,212
3825882,222
3825849,2535
3825860,211
3825847,2419
3825817,218
3825778,212
3825777,211
3825740,2625
3825875,222
3825884,2535
3825842,218
3825890,180
3825871,2692
3825896,2575
3825841,2625
3825843,221
3825839,211
3825838,2434
3825840,2604
3825836,218
3825835,2625
3825834,2419
3825906,2575
3825897,2692
3825889,2602
3825833,211
3825857,2608
3825863,212
3825829,183
3825830,221
3825832,180
3825831,2480
3825828,2602
3825827,2419
3825826,2604
3825825,2692
3825824,2728
3825823,1008
3825905,2434
3825822,1015
3825821,2419
3825820,2604
3825819,221
3825818,180
3825887,2608
3825907,183
3825903,1008
3825816,2535
3825815,2728
3825858,212
3825813,2692
3825814,2434
3825812,2602
3825811,222
3825807,212
3825809,218
3825810,1015
3825808,2728
3825804,2535
3825867,2419
3825805,1008
3825784,2419
3825782,2480
3825757,2608
3825641,218
3825803,2604
3825800,2575
3825801,2434
3825799,211
3825797,180
3825798,2602
3825795,2608
3825793,183
3825792,2434
3825794,2608
3825788,222
3825791,180
3825790,2535
3825787,1008
3825789,221
3825786,1015
3825781,2604
3825785,218
3825783,2625
3825780,2602
3825779,2692
3825773,2604
3825776,2419
3825775,211
3825770,212
3825768,1008
3825736,2419
3825731,218
3825685,221
3825678,183
3825643,2575
3825642,1015
3825638,183
3825614,2480
3825612,2575
3825607,222
3825595,1008
3825579,1008
3825572,2608
3825774,180
3825772,2728
3825771,221
3825767,2575
3825706,1015
3825712,221
3825708,183
3825707,2575
3825705,2535
3825711,2625
3825703,2608
3825700,218
3825701,180
3825702,2728
3825704,2434
3825891,2692
3825699,1008
3825697,222
3825698,2604
3825694,211
3825693,2434
3825696,1008
3825695,221
3825689,222
3825690,183
3825692,2728
3825691,2480
3825688,1015
3825687,2535
3825683,2692
3825686,212
3825684,2604
3825681,180
3825682,2419
3825680,2602
3825677,2535
3825675,2608
3825676,211
3825674,2480
3825673,1008
3825671,2575
3825672,2604
3825670,2625
3825669,2602
3825668,2692
3825666,2575
3825665,2728
3825667,2419
3825664,180
3825662,212
3825888,1015
3825663,2434
3825659,221
3825658,2604
3825660,1008
3825661,211
3825656,2728
3825657,2419
3825652,2535
3825623,2608
3825626,2602
3825616,2728
3825608,1015
3825601,2480
3825899,2602
3825852,221
3825647,2602
3825637,2728
3825628,222
3825619,212
3825618,180
3825611,2625
3825609,2535
3825598,212
3825584,183
3825570,218
3825562,212
3825904,2434
3825901,222
3825898,222
3825893,1008
3825892,2604
3825886,2608
3825885,2575
3825881,211
3825880,2480
3825879,222
3825878,2625
3825877,2535
3825874,2480
3825873,2728
3825872,211
3825870,2604
3825868,183
3825866,1015
3825865,212
3825864,221
3825862,2419
3825861,2575
3825859,211
3825856,2625
3825854,2608
3825853,221
3825851,2604
3825850,2728
3825845,2434
3825844,2575
3825806,183
3825802,2625
3825679,2608
3825655,183
3825654,2480
3825653,218
3825651,2608
3825650,211
3825649,180
3825648,212
3825765,2535
3825766,2625
3825764,183
3825760,222
3825763,218
3825761,2692
3825762,2608
3825759,2434
3825758,2480
3825756,212
3825755,211
3825754,2625
3825750,2419
3825752,180
3825751,2604
3825753,2728
3825749,2535
3825747,183
3825748,218
3825745,2692
3825746,2434
3825743,2575
3825744,1015
3825742,2602
3825741,222
3825739,221
3825738,2480
3825737,1008
3825734,2434
3825733,2604
3825732,2728
3825735,211
3825729,183
3825728,2602
3825730,2608
3825727,2575
3825723,2692
3825726,2419
3825725,212
3825724,1015
3825722,2604
3825716,180
3825719,2728
3825720,2419
3825717,221
3825721,222
3825718,2625
3825715,2480
3825714,1008
3825713,212
3825710,211
3825709,218
3825646,2625
3825645,2434
3825644,222
3825640,221
3825639,2604
3825636,2535
3825635,1008
3825634,180
3825633,2419
3825632,212
3825631,218
3825630,2575
3825629,211
3825627,1015
3825625,2625
3825624,2434
3825622,2604
3825621,221
3825620,218
3825617,183
3825615,1008
3825613,2419
3825610,2434
3825606,211
3825605,2608
3825604,1008
3825603,183
3825602,180
3825600,2602
3825599,218
3825597,211
3825596,2419
3825594,2575
3825593,2608
3825592,1015
3825591,2535
3825590,2434
3825589,2625
3825588,2602
3825587,1015
3825586,221
3825585,2604
3825583,2728
3825582,212
3825581,2480
3825580,218
3825578,222
3825577,2419
3825576,211
3825575,1015
3825574,2434
3825573,2625
3825571,2535
3825569,2602
3825568,2480
3825567,2604
3825566,221
3825565,183
3825564,180
3825563,2419
266498,1015
266986,180
267576,221
265944,1008
265894,1008
265958,183
266885,218
266664,218
266670,211
266149,180
266620,2535
266056,221
266166,180
266160,1015
266424,222
266467,221
266490,222
266557,222
68314,993
68313,994
68316,2535
68315,222
69153,1007
68352,995
68353,996
69164,995
68324,1004
68320,997
68323,1001
69172,999
68339,998
68348,1002
68354,1000
68351,1005
68317,996
68350,994
68325,996
68321,1006
68319,999
68342,1003
68322,1009
68318,997
69176,997
69179,1011
68334,1002
68333,994
68336,221
68326,1001
69162,999
68335,221
68332,999
68330,1007
68329,997
68341,1004
69165,1006
69155,1007
69154,2699
69156,1008
69159,1000
69175,1009
69160,1003
68331,999
68328,998
68340,2535
69174,1011
68347,222
68327,1006
69157,1007
15978,2728
15998,221
16073,183
16190,180
16109,2419
16173,2728
15946,2625
16157,221
16136,2602
16248,183
16056,180
16289,2602
16079,2609
16149,2493
15973,2692
16131,183
16095,211
16306,211
15986,183
16023,211
16196,221
15956,2602
69151,1008
69144,999
69169,996
68360,2535
69186,1000
69180,997
69143,2535
69181,221
68365,222
69178,998
68364,2699
69170,222
68359,1001
68356,1007
69158,1009
69187,1004
68363,2535
69166,1003
68366,1010
69148,221
69184,1010
69173,1011
69146,1003
69182,1002
68358,1008
68361,1007
69141,221
69145,999
69225,1011
69212,999
69235,2535
69232,1007
69216,221
69209,222
69231,1010
69217,1003
69273,1001
69222,999
69223,1004
69195,999
69251,997
69185,1002
69142,997
69139,1012
69189,1001
69171,221
69249,221
69215,1000
69138,996
69147,222
69177,2699
69207,998
69228,1008
69183,1006
69279,1003
69285,1001
69211,1011
69230,1003
69149,222
303400,183
303493,183
303680,180
303674,211
303470,180
303524,180
303473,180
3773565,2602
3773665,2402
3773497,183
3773660,2602
3773593,2402
3773466,2728
3773585,2434
3773552,2402
3773672,183
3773587,2470
3773377,2608
3773586,2493
3773372,180
3773387,2609
3773695,2625
3773369,2559
3773661,866
3773597,2609
3773523,2625
3773571,2692
3773428,2470
3764661,2728
3773526,866
3773474,2575
3773625,2608
3773403,180
3773547,180
3773415,2434
3764440,2634
3773689,2728
3750234,1936
3879863,419
3879773,419
3879847,252
3879862,266
3879817,268
3879825,1008249
3879750,1940
3879567,250
3879785,261
3879705,1008249
3879628,262
3879665,258
3879699,269
3879703,257
3879609,1940
3879653,269
3879632,257
3879663,261
3879645,259
3879579,262
3879566,1008249
3879587,258
3879556,261
3879585,268
3879582,259
3879564,266
3879562,419
3879837,1940
3879838,419
3879839,253
3879840,266
3879836,261
3879833,259
3879828,257
3879832,262
3879830,270
3879792,263
3879795,1946
3879794,250
3879788,251
3879787,269
3879786,268
3879784,262
3879783,259
3879782,258
3879781,266
3879780,256
3879779,257
3879778,249
3879777,1940
3879774,1946
3879776,259
3879771,250
3879772,251
3879756,258
3879754,256
3879748,261
3879749,251
3879747,270
3879742,257
3879746,259
3879744,266
3879745,1008249
3879743,1946
3879739,269
3879741,279
3879740,264
3879738,253
3879737,1008197
3879732,268
3879707,261
3879702,268
3879704,1008197
3879701,258
3879700,253
3879706,259
3878559,1940
3879636,251
3879627,279
3879626,261
3879625,264
3879624,1940
3879623,258
3879622,267
3879621,1008249
3879620,266
3878611,253
3878610,267
3878608,269
3878607,251
3878606,250
3878605,264
3879876,280
3879875,270
3879874,260
3879873,1003752
3879872,2554
3879871,259
3879870,256
3879869,419
3879868,1008197
3879867,1940
3879866,1940
3879865,258
3879864,267
3879861,1008249
3879860,269
3879859,268
3879858,262
3879857,264
3879856,1008197
3879855,250
3879854,256
3879853,258
3879852,259
3879851,251
3879850,270
3879849,273
3879848,261
3879846,264
3879845,269
3879844,265
3879843,249
3879842,1008249
3879841,268
3879835,1946
3879834,251
3879831,252
3879829,887
3879827,1008197
3879826,262
3879824,265
3879823,270
3879822,256
3879821,258
3879820,250
3879819,419
3879818,254
3879816,251
3879815,264
3879814,266
3879813,1946
3879812,1008197
3879811,1940
3879810,269
3879809,256
3879808,253
3879807,249
3879806,279
3879805,268
3879804,259
3879803,270
3879802,252
3879801,261
3879800,1008197
3879799,258
3879798,257
3879797,1008249
3879796,1008197
3879793,264
3879791,253
3879790,419
3879789,265
3879775,252
3879770,265
3879769,264
3879768,1008249
3879767,270
3879766,266
3879765,253
3879764,249
3879763,269
3879762,262
3879761,257
3879760,264
3879759,268
3879758,1940
3879757,1008197
3879755,1946
3879753,265
3879752,1008197
3879751,250
3879736,1940
3879735,249
3879734,270
3879733,251
3879731,262
3879730,250
3879729,252
3879728,258
3879727,269
3879726,1946
3879725,1008197
3879724,1008249
3879723,265
3879722,264
3879721,259
3879720,270
3879719,261
3879718,271
3879717,257
3879716,250
3879715,252
3879714,251
3879713,262
3879712,266
3879711,1940
3879710,249
3879709,419
3879708,256
3879698,1946
3879697,265
3879696,1940
3879695,1940
3879694,264
3879693,268
3879692,254
3879691,251
3879690,262
3879689,252
3879688,419
3879687,270
3879686,250
3879685,261
3879684,259
3879683,258
3879682,1008197
3879681,262
3879680,256
3879679,253
3879678,249
3879677,419
3879676,269
3879675,1946
3879674,251
3879673,1008249
3879672,270
3879671,266
3879670,257
3879669,264
3879668,1940
3879667,263
3879666,265
3879664,249
3879662,253
3879661,268
3879660,250
3879659,259
3879658,256
3879657,1008197
3879656,252
3879655,257
3879654,255
3879652,265
3879651,419
3879650,1008249
3879649,262
3879648,251
3879647,264
3879646,261
3879644,1946
3879643,252
3879642,270
3879641,253
3879640,268
3879639,266
3879638,250
3879637,258
3879635,269
3879634,256
3879633,249
3879631,1008197
3879630,265
3879629,419
3879619,419
3879618,259
3879617,268
3879616,1946
3879615,265
3879614,270
3879613,251
3879612,257
3879611,252
3879610,253
3879608,269
3879607,250
3879606,256
3879605,264
3879604,262
3879603,275
3879602,249
3879601,261
3879600,259
3879599,266
3879598,419
3879597,268
3879596,1008249
3879595,265
3879594,257
3879593,250
3879592,1946
3879591,1008197
3879590,273
3879589,266
3879588,270
3879586,252
3879584,419
3879583,269
3879581,251
3879580,264
3879578,253
3879577,1940
3879576,270
3879575,256
3879574,265
3879573,261
3879572,258
3879571,255
3879570,259
3879569,249
3879568,1008197
3879565,268
3879563,257
3879561,251
3879560,264
3879559,1940
3879558,1946
3879557,262
3879555,265
3879554,252
3879553,249
3879552,1008197
3879551,250
3879550,266
3879549,253
3879548,269
3879547,270
3879546,256
3879545,258
3879544,263
3879543,1008249
3879542,1946
3879541,257
3879540,1940
3879539,268
3879538,419
3879537,262
3878609,265
3878604,266
3878603,249
3878602,1946
3878601,1008249
3878600,268
3878599,252
3878598,256
3878597,258
3878596,270
3878595,257
3878594,261
3878593,1008197
3878592,262
3878558,1008197
3878557,266
3878556,253
3878555,419
3878554,269
3878553,264
3878552,251
3878551,250
3878550,1946
3878549,252
3878548,259
3878547,258
3878546,262
3878545,249
3878544,270
3878543,257
3878542,265
3878541,261
3878540,268
3889182,1009053
3827767,1004906
3827335,1004863
3827336,1004922
3827338,1004912
3827337,1005422
3817856,1004906
3817891,1004958
3817870,1005029
3817899,1004970
3817866,1004912
3817889,1004906
3817887,1004863
3817872,1004958
3817900,1005422
3817855,1004912
3817863,2459
3817877,1004922
3817901,1004863
3817880,1004970
3817902,1005029
3817862,1004958
3817873,1004922
3817869,1005422
3817881,1004981
3817895,1004906
3817884,1004863
3817896,2459
3817852,1005029
3817883,1004997
3817886,1004970
3817864,1004912
3817882,1004981
3817894,1004958
3817871,1004922
3817861,1004863
3817888,1004906
3817875,1005029
3817868,1004970
3817867,2459
3813313,1004863
3817890,1004922
3813302,2459
3817857,1004922
3817898,1004912
3817893,1005422
3817854,1004863
3817892,1005029
3817859,2459
3817858,1004970
3817897,1004863
3817885,1004981
3817878,1004912
3817876,1004906
3813305,2479
3813266,1004970
3813271,1004997
3813311,2479
3813303,1004906
3813304,1005029
3813306,1004863
3813283,1004912
3813275,1004970
3813278,1004906
3813295,1004981
3813282,2479
3813269,1004997
3817879,1004912
3817874,2479
3817865,1004981
3817860,1004997
3817853,1005029
3817851,1004958
3817850,1004906
3817849,1004997
3817848,1004906
3813318,2459
3813287,1004906
3813270,2459
3813307,1004958
3813279,1004970
3813281,1004912
3813274,2479
3813285,2479
3813317,1004863
3813316,1004912
3813315,1004958
3813314,1004863
3813312,1004997
3813310,1004922
3813309,2479
3813308,1004997
3813301,1004958
3813300,1004922
3813299,1004863
3813298,1004906
3813297,1004912
3813294,1004981
3813293,1004863
3813292,2479
3813291,1004912
3813290,1004981
3813289,1004922
3813288,1004970
3813286,2459
3813284,1005029
3813280,1004906
3813277,1004970
3813276,1004912
3813273,1004922
3813272,1004922
3813268,2459
3813267,1004997
3813265,1004958
3813264,1004912
3888787,1009055
18245,727
18244,186
18235,708
18236,449
18237,717
18240,419
18241,287
18242,581
18243,728
3888711,1009028
3750200,700
22912,420
3750201,705
3750235,1920
3754058,5
3754245,4
3754136,4
3754037,7
3754039,9
3754041,728
3754042,9
3754043,7
3754045,2
3754048,14
3754049,7
3754050,8
3754052,8
3754053,8
3754055,1
3754226,12
3754014,12
3754091,4
3754135,4
3754293,8
3754339,10
3754146,5
3754347,728
3754255,2
3754278,1
3753979,4
3753972,5
3753978,13
3753974,10
3753993,12
3753983,12
3754015,728
3754038,3
3754001,4
3754007,1
3754008,14
3754029,6
3753995,9
3753999,14
3754017,7
3754006,8
3754023,7
3753984,12
3754011,728
3754010,13
3754028,13
3753996,2
3754025,13
3754068,4
3754056,728
3754040,8
3754074,6
3754076,7
3754067,728
3754079,12
3754090,13
3754083,2
3754077,9
3754060,4
3754073,14
3754085,1
3754047,8
3754051,728
3754093,1
3754046,2
3754072,11
3754082,5
3754106,6
3754099,3
3754098,728
3754057,14
3754112,2
3754117,12
3754104,6
3754054,8
3754113,8
3754107,6
3754105,9
3754097,3
3754102,8
3754115,13
3754148,2
3754169,12
3754174,2
3754185,9
3754162,8
3754096,5
3754171,8
3754119,9
3754126,10
3754133,12
3754167,9
3754145,6
3754153,9
3754143,5
3754186,2
3754130,11
3754188,12
3754178,10
3754157,12
3754166,3
3754211,14
3754150,6
3754160,9
3754218,6
3754217,6
3754205,5
3754221,4
3754198,2
3754193,6
3754222,1
3754213,9
3754212,3
3754223,14
3754197,728
3754208,3
3754204,9
3754194,17
3754219,6
3754254,2
3754230,5
3754285,6
3754233,8
3754270,9
3754237,10
3754257,14
3754266,8
3754256,3
3754288,3
3754238,10
3754269,9
3754234,13
3754246,728
3754296,5
3754273,50
3754263,6
3754268,14
3754286,6
3754291,8
3754283,1
3754235,4
3754279,13
3754276,13
3754287,5
3754259,10
3754335,728
3754298,16
3754315,4
3754330,14
3754337,3
3754297,6
3754301,728
3754323,6
3754304,16
3754311,728
3754328,9
3754309,3
3754325,16
3754329,8
3754302,17
3754013,728
3754044,1
3754351,7
3754343,4
3754109,8
3754182,4
3754240,3
3754336,5
3754247,10
3754156,13
3754265,4
3754000,14
3754003,1
3754344,14
3754131,3
3754300,14
3754312,10
3754138,74
3754203,8
3754190,50
3754066,4
3754034,1
3753985,8
3753987,4
3754189,5
3754129,1
3754180,7
3754059,728
3754064,13
3754065,10
3754173,13
3754175,13
3753973,9
3753975,13
3753976,9
3753977,2
3753980,728
3753981,728
3753982,1
3753986,728
3753988,13
3753989,8
3753990,6
3753991,4
3753992,3
3753994,1
3753997,3
3753998,1
3754002,2
3754004,9
